Name,Nation,Position,Alter,POW,CON,SPD,DEF,ARM,LEAD,OverallRating,Marktwert (€),Potenzialwert,TotalScore
Carlos Meier,USA,Pitcher (Reliever),26,48,68,56,86,75,73,67.67,6.767.000 €,,
Marco Meier,Kuba,Shortstop,26,53,60,46,69,79,79,64.33,6.433.000 €,,
Rafael Weiss,Venezuela,Right Fielder,29,43,64,83,89,55,58,65.33,6.533.000 €,,
Marco Silva,Kuba,Backup Outfield (Utility),32,64,49,47,70,78,51,59.83,5.983.000 €,,
Carlos Johnson,Venezuela,Backup Outfield (Utility),30,84,43,83,57,63,68,66.33,6.633.000 €,,
Mateo Weiss,Kuba,Backup Infield (Utility),29,49,76,69,50,74,55,62.17,6.217.000 €,,
Kai Johnson,Venezuela,Pitcher (Reliever),29,84,77,46,72,75,57,68.5,6.850.000 €,,
Liam Ortiz,Deutschland,Right Fielder,20,88,44,82,65,74,44,66.17,6.617.000 €,,
Noah Weiss,Venezuela,Third Baseman,19,43,63,59,75,70,67,62.83,6.283.000 €,,
Kai Ortiz,Kuba,Pitcher (Reliever),26,70,61,71,69,59,69,66.5,6.650.000 €,,
Carlos Smith,Venezuela,Right Fielder,33,79,84,63,77,65,67,72.5,7.250.000 €,,
Yuki Garcia,Deutschland,Left Fielder,22,44,40,80,70,51,49,55.67,5.567.000 €,,
Santiago Ortiz,Dominikanische Republik,Right Fielder,21,72,52,53,63,51,53,57.33,5.733.000 €,,
Noah Smith,USA,Pitcher (Reliever),34,78,62,77,87,41,43,64.67,6.467.000 €,,
Liam Silva,Venezuela,Left Fielder,35,87,43,51,60,59,58,59.67,5.967.000 €,,
Mateo Schneider,Venezuela,Pitcher (Reliever),18,58,70,40,89,58,77,65.33,6.533.000 €,,
Miguel Schneider,Deutschland,Pitcher (Reliever),19,50,76,64,72,71,73,67.67,6.767.000 €,,
Santiago Schneider,USA,Backup Catcher,25,59,53,59,86,88,66,68.5,6.850.000 €,,
Marco Nakamura,Kanada,Pitcher (Reliever),27,64,54,69,43,79,45,59.0,5.900.000 €,,
Miguel Meier,Deutschland,Pitcher (Reliever),28,77,82,44,73,84,44,67.33,6.733.000 €,,
Kai Schneider,Südkorea,Pitcher (Starter),35,82,78,53,61,60,49,63.83,6.383.000 €,,
Rafael Smith,Dominikanische Republik,Shortstop,33,77,71,70,48,84,86,72.67,7.267.000 €,,
Rafael Ortiz,Mexiko,First Baseman,33,41,65,49,54,85,51,57.5,5.750.000 €,,
Noah Smith,Deutschland,Pinch Runner,35,57,52,88,51,56,82,64.33,6.433.000 €,,
Mateo Schneider,USA,Pitcher (Reliever),35,63,71,43,88,70,86,70.17,7.017.000 €,,
Yuki Weiss,Japan,Pitcher (Reliever),21,69,86,81,70,49,82,72.83,7.283.000 €,,
Miguel Ortiz,USA,Designated Hitter,20,48,90,85,58,74,64,69.83,6.983.000 €,,
Noah Ortiz,USA,Pitcher (Reliever),33,77,87,75,70,49,52,68.33,6.833.000 €,,
Rafael Nakamura,Mexiko,Pitcher (Starter),23,47,72,47,50,76,83,62.5,6.250.000 €,,
Carlos Weiss,Deutschland,Left Fielder,21,62,85,40,51,44,86,61.33,6.133.000 €,,
Santiago Silva,Venezuela,First Baseman,19,46,46,53,88,78,42,58.83,5.883.000 €,,
Santiago Meier,Mexiko,Left Fielder,21,51,82,89,59,67,67,69.17,6.917.000 €,,
Carlos Nakamura,Kuba,Backup Infield (Utility),27,61,58,58,85,76,54,65.33,6.533.000 €,,
Kai Weiss,Dominikanische Republik,Pitcher (Starter),22,48,51,80,87,69,90,70.83,7.083.000 €,,
Marco Weiss,USA,Designated Hitter,23,82,76,80,41,71,74,70.67,7.067.000 €,,
Noah Nakamura,Kanada,Pinch Runner,32,68,40,73,73,88,83,70.83,7.083.000 €,,
Liam Ortiz,Venezuela,Pinch Hitter,28,66,87,47,40,65,46,58.5,5.850.000 €,,
Carlos Garcia,Mexiko,Shortstop,30,43,66,81,87,54,40,61.83,6.183.000 €,,
Carlos Silva,Kuba,Pitcher (Starter),22,86,79,72,70,54,59,70.0,7.000.000 €,,
Santiago Johnson,Deutschland,Pitcher (Reliever),27,72,78,79,71,83,45,71.33,7.133.000 €,,
Noah Johnson,Venezuela,Pitcher (Reliever),28,48,78,65,57,54,79,63.5,6.350.000 €,,
Mateo Meier,Kanada,Right Fielder,22,70,46,60,75,51,89,65.17,6.517.000 €,,
Noah Nakamura,Südkorea,Pinch Hitter,23,67,61,85,69,73,75,71.67,7.167.000 €,,
Rafael Ortiz,Dominikanische Republik,Pinch Runner,18,50,86,71,74,90,53,70.67,7.067.000 €,,
Yuki Smith,Dominikanische Republik,Backup Infield (Utility),25,52,71,80,66,64,61,65.67,6.567.000 €,,
Miguel Weiss,Japan,Backup Infield (Utility),29,73,40,60,69,63,46,58.5,5.850.000 €,,
Miguel Meier,Kuba,Left Fielder,36,46,82,64,43,90,71,66.0,6.600.000 €,,
Carlos Nakamura,Dominikanische Republik,Pitcher (Reliever),30,47,88,53,66,69,82,67.5,6.750.000 €,,
Liam Meier,Mexiko,Designated Hitter,28,65,51,44,50,66,87,60.5,6.050.000 €,,
Kai Schneider,Südkorea,Backup Outfield (Utility),23,42,78,71,85,80,62,69.67,6.967.000 €,,
Liam Johnson,USA,Backup Outfield (Utility),32,76,43,74,54,43,74,60.67,6.067.000 €,,
Carlos Schneider,Kuba,Backup Outfield (Utility),24,78,84,48,86,49,89,72.33,7.233.000 €,,
Miguel Meier,Dominikanische Republik,Right Fielder,25,71,73,51,52,83,69,66.5,6.650.000 €,,
Mateo Johnson,Kuba,First Baseman,27,59,44,84,60,53,51,58.5,5.850.000 €,,
Marco Meier,Dominikanische Republik,Pinch Runner,23,73,90,61,65,85,48,70.33,7.033.000 €,,
Rafael Smith,Dominikanische Republik,Pitcher (Reliever),35,56,44,79,41,82,77,63.17,6.317.000 €,,
Miguel Weiss,Dominikanische Republik,Catcher,29,43,60,62,81,43,69,59.67,5.967.000 €,,
Miguel Garcia,Südkorea,Second Baseman,33,61,57,46,83,53,54,59.0,5.900.000 €,,
Miguel Lee,Dominikanische Republik,Pitcher (Reliever),28,62,59,44,88,67,53,62.17,6.217.000 €,,
Noah Schneider,Mexiko,Backup Outfield (Utility),29,74,77,84,75,49,57,69.33,6.933.000 €,,
Miguel Garcia,Kanada,Third Baseman,21,60,83,61,83,45,46,63.0,6.300.000 €,,
Rafael Garcia,Venezuela,Pitcher (Reliever),21,54,68,82,55,85,45,64.83,6.483.000 €,,
Kai Nakamura,Deutschland,Center Fielder,20,51,57,87,83,79,50,67.83,6.783.000 €,,
Noah Ortiz,Japan,Second Baseman,27,61,58,59,83,71,57,64.83,6.483.000 €,,
Yuki Schneider,Venezuela,First Baseman,20,50,75,87,71,79,58,70.0,7.000.000 €,,
Liam Silva,Mexiko,Pitcher (Reliever),22,84,84,85,46,73,85,76.17,7.617.000 €,,
Marco Johnson,Japan,Backup Outfield (Utility),21,70,63,71,86,90,50,71.67,7.167.000 €,,
Liam Smith,Mexiko,First Baseman,18,52,62,67,47,84,62,62.33,6.233.000 €,,
Marius Manns,Germany,First Baseman,28,50,40,45,65,70,50,53.0,1.050.000 €,,
